Distance from Sea,Group,Perceived importance of tourism,Perceived importance of recreational,Perceived importance of aesthetics,Perceived importance of education,Perceived importance of research
1,Close to coastal forest,4,2,1,1,1
1,Close to coastal forest,4,1,4,3,3
1,Close to coastal forest,3,1,1,1,1
1,Close to coastal forest,1,1,1,1,1
1,Close to coastal forest,4,1,1,1,1
1,Close to coastal forest,4,4,1,2,1
1,Close to coastal forest,5,1,1,1,1
2,Close to coastal forest,4,3,1,1,1
2,Close to coastal forest,4,4,3,4,4
2,Close to coastal forest,4,4,4,2,2
2,Close to coastal forest,5,5,5,3,3
2,Close to coastal forest,5,5,5,3,4
2,Close to coastal forest,5,5,4,2,1
2,Close to coastal forest,5,5,5,5,5
2,Close to coastal forest,5,5,5,2,3
2,Close to coastal forest,5,4,4,1,1
2,Close to coastal forest,5,5,4,2,3
2,Close to coastal forest,3,4,3,1,1
2,Close to coastal forest,2,5,4,1,1
2,Close to coastal forest,4,5,4,2,3
2,Close to coastal forest,4,3,1,1,1
2,Close to coastal forest,5,5,5,3,3
2,Close to coastal forest,4,4,5,5,5
2,Close to coastal forest,3,3,4,3,3
2,Close to coastal forest,1,1,5,1,1
2,Close to coastal forest,5,5,5,2,3
2,Close to coastal forest,2,2,4,2,2
2,Close to coastal forest,2,2,3,3,3
2,Close to coastal forest,5,5,5,1,1
2,Close to coastal forest,4,4,4,2,2
2,Close to coastal forest,5,5,5,2,2
2,Close to coastal forest,5,5,5,1,1
2,Close to coastal forest,3,3,5,3,3
2,Close to coastal forest,5,5,5,2,2
2,Close to coastal forest,5,1,5,1,1
2,Close to coastal forest,2,3,4,2,2
2,Close to coastal forest,1,1,1,1,1
2,Close to coastal forest,4,4,5,3,2
2,Close to coastal forest,1,1,1,1,1
2,Close to coastal forest,2,2,2,2,2
2,Close to coastal forest,2,2,4,1,1
2,Close to coastal forest,3,3,5,2,2
2,Close to coastal forest,5,5,5,4,4
2,Close to coastal forest,4,2,1,1,1
2,Close to coastal forest,4,1,4,3,3
2,Close to coastal forest,4,4,5,2,2
2,Close to coastal forest,5,5,5,1,1
2,Close to coastal forest,2,2,3,1,3
2,Close to coastal forest,5,5,5,3,4
2,Close to coastal forest,5,5,5,5,5
2,Close to coastal forest,4,4,5,4,4
2,Close to coastal forest,5,5,5,4,4
2,Close to coastal forest,5,5,5,4,4
2,Close to coastal forest,3,3,4,3,3
2,Close to coastal forest,4,4,4,3,3
2,Close to coastal forest,2,2,3,1,3
3,Close to coastal forest,3,3,5,2,2
3,Close to coastal forest,4,4,5,3,2
3,Close to coastal forest,1,1,1,1,1
3,Close to coastal forest,2,2,4,1,1
3,Close to coastal forest,3,3,5,2,2
3,Close to coastal forest,5,5,5,4,4
3,Close to coastal forest,2,4,5,2,1
3,Close to coastal forest,1,1,1,1,1
