Distance from Sea,Group,Perceived importance of habitat for animals,Perceived importance of habitat for birds,Perceived importance of habitat for fisheries
1,Close to coastal forest,4,4,4
1,Close to coastal forest,4,4,4
1,Close to coastal forest,4,4,4
1,Close to coastal forest,4,4,4
1,Close to coastal forest,1,4,4
1,Close to coastal forest,4,4,4
1,Close to coastal forest,5,5,5
2,Close to coastal forest,4,4,5
2,Close to coastal forest,4,4,5
2,Close to coastal forest,4,4,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,4,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,4,4,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,3,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,1
2,Close to coastal forest,4,4,2
2,Close to coastal forest,5,5,2
2,Close to coastal forest,5,5,5
2,Close to coastal forest,3,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,4,4,4
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,3,5,4
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,4
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,4,4
2,Close to coastal forest,5,5,4
2,Close to coastal forest,4,4,4
2,Close to coastal forest,4,5,5
2,Close to coastal forest,4,4,4
2,Close to coastal forest,4,4,4
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,4,4,4
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,5,5,5
2,Close to coastal forest,4,4,5
2,Close to coastal forest,5,4,4
2,Close to coastal forest,4,4,4
3,Close to coastal forest,5,5,3
3,Close to coastal forest,5,5,4
3,Close to coastal forest,5,5,5
3,Close to coastal forest,5,5,4
3,Close to coastal forest,4,4,4
3,Close to coastal forest,4,5,5
3,Close to coastal forest,5,5,5
3,Close to coastal forest,5,5,5
3,Close to coastal forest,5,5,2
3,Close to coastal forest,3,3,3
3,Close to coastal forest,3,3,3
3,Close to coastal forest,4,5,5
3,Close to coastal forest,5,5,5
3,Close to coastal forest,5,5,5
3,Close to coastal forest,5,5,5
3,Close to coastal forest,5,5,5
4,Close to coastal forest,4,4,1
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,3,4,4
4,Close to coastal forest,4,4,4
4,Close to coastal forest,4,4,3
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,4,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,4,4
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
4,Close to coastal forest,5,5,5
5,Distance to coastal forest,5,5,5
5,Distance to coastal forest,3,4,5
5,Distance to coastal forest,4,4,5
5,Distance to coastal forest,5,5,5
5,Distance to coastal forest,4,4,4
5,Distance to coastal forest,4,5,5
5,Distance to coastal forest,5,5,5
5,Distance to coastal forest,5,5,5
5,Distance to coastal forest,5,5,5
5,Distance to coastal forest,5,5,5
5,Distance to coastal forest,4,4,4
5,Distance to coastal forest,3,3,4
5,Distance to coastal forest,3,3,3
6,Distance to coastal forest,5,4,4
6,Distance to coastal forest,5,5,5
6,Distance to coastal forest,5,5,5
6,Distance to coastal forest,5,5,5
8,Distance to coastal forest,4,4,4
8,Distance to coastal forest,4,5,3
9,Distance to coastal forest,3,4,3
9,Distance to coastal forest,3,4,3
9,Distance to coastal forest,3,4,3
9,Distance to coastal forest,4,4,4
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,3,4,5
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,3,4,3
9,Distance to coastal forest,5,5,5
9,Distance to coastal forest,3,4,3
10,Distance to coastal forest,4,4,5
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,4,4,4
10,Distance to coastal forest,4,5,5
10,Distance to coastal forest,4,4,3
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,4,4,4
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,4,5,5
10,Distance to coastal forest,4,5,5
10,Distance to coastal forest,4,5,5
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,5,5,1
10,Distance to coastal forest,4,4,2
10,Distance to coastal forest,5,5,2
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,5,5,2
10,Distance to coastal forest,5,5,5
10,Distance to coastal forest,4,4,4
